Sample	Filename	sequence_length_distribution	overrepresented_sequences	sequence_duplication_levels	per_sequence_gc_content	File type	per_base_n_content	per_tile_sequence_quality	Encoding	adapter_content	total_deduplicated_percentage	kmer_content	Sequences flagged as poor quality	per_base_sequence_content	avg_sequence_length	Total Sequences	basic_statistics	per_base_sequence_quality	Sequence length	%GC	per_sequence_quality_scores
6-Swift2S-10ng-2_S9_L005_R1_001	6-Swift2S-10ng-2_S9_L005_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	89.52248733577676	fail	0.0	warn	151.0	51184984.0	pass	pass	151.0	40.0	pass
6-Swift2S-10ng-2_S9_L005_R2_001	6-Swift2S-10ng-2_S9_L005_R2_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	91.00924879007664	fail	0.0	warn	151.0	51184984.0	pass	pass	151.0	40.0	pass
6-Swift2S-10ng-2_S9_L006_R1_001	6-Swift2S-10ng-2_S9_L006_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	90.24508594377842	fail	0.0	warn	151.0	48962227.0	pass	pass	151.0	40.0	pass
6-Swift2S-10ng-2_S9_L006_R2_001	6-Swift2S-10ng-2_S9_L006_R2_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	91.65566499769722	fail	0.0	warn	151.0	48962227.0	pass	pass	151.0	40.0	pass
6-Swift2S-10ng-2_S9_L007_R1_001	6-Swift2S-10ng-2_S9_L007_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	pass	90.70287766674467	fail	0.0	warn	151.0	51021990.0	pass	pass	151.0	40.0	pass
6-Swift2S-10ng-2_S9_L007_R2_001	6-Swift2S-10ng-2_S9_L007_R2_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	92.99406372731792	fail	0.0	warn	151.0	51021990.0	pass	pass	151.0	40.0	pass
6-Swift2S-10ng-2_S9_L008_R1_001	6-Swift2S-10ng-2_S9_L008_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	pass	91.40300906889233	fail	0.0	warn	151.0	45460114.0	pass	pass	151.0	40.0	pass
6-Swift2S-10ng-2_S9_L008_R2_001	6-Swift2S-10ng-2_S9_L008_R2_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	92.27077038870377	fail	0.0	warn	151.0	45460114.0	pass	pass	151.0	40.0	pass
7-Swift2S-10ng-3_S10_L005_R1_001	7-Swift2S-10ng-3_S10_L005_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	88.9317731742002	fail	0.0	warn	151.0	59482133.0	pass	pass	151.0	40.0	pass
7-Swift2S-10ng-3_S10_L005_R2_001	7-Swift2S-10ng-3_S10_L005_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	90.7139408022829	fail	0.0	warn	151.0	59482133.0	pass	pass	151.0	40.0	pass
7-Swift2S-10ng-3_S10_L006_R1_001	7-Swift2S-10ng-3_S10_L006_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	89.53154825428936	fail	0.0	warn	151.0	56693629.0	pass	pass	151.0	40.0	pass
7-Swift2S-10ng-3_S10_L006_R2_001	7-Swift2S-10ng-3_S10_L006_R2_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	91.47928424555558	fail	0.0	warn	151.0	56693629.0	pass	pass	151.0	40.0	pass
7-Swift2S-10ng-3_S10_L007_R1_001	7-Swift2S-10ng-3_S10_L007_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	90.03492726820168	fail	0.0	warn	151.0	59123889.0	pass	pass	151.0	40.0	pass
7-Swift2S-10ng-3_S10_L007_R2_001	7-Swift2S-10ng-3_S10_L007_R2_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	92.47824679216205	fail	0.0	warn	151.0	59123889.0	pass	pass	151.0	40.0	pass
7-Swift2S-10ng-3_S10_L008_R1_001	7-Swift2S-10ng-3_S10_L008_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	90.94373577042865	fail	0.0	fail	151.0	52352349.0	pass	pass	151.0	40.0	pass
7-Swift2S-10ng-3_S10_L008_R2_001	7-Swift2S-10ng-3_S10_L008_R2_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	91.89554423536708	fail	0.0	warn	151.0	52352349.0	pass	pass	151.0	40.0	pass
8-Swift2S-10ng-4_S11_L005_R1_001	8-Swift2S-10ng-4_S11_L005_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	89.4184386325233	fail	0.0	warn	151.0	57683918.0	pass	pass	151.0	40.0	pass
8-Swift2S-10ng-4_S11_L005_R2_001	8-Swift2S-10ng-4_S11_L005_R2_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	91.15646088759972	fail	0.0	warn	151.0	57683918.0	pass	pass	151.0	40.0	pass
8-Swift2S-10ng-4_S11_L006_R1_001	8-Swift2S-10ng-4_S11_L006_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	90.05658890133307	fail	0.0	fail	151.0	54975138.0	pass	pass	151.0	40.0	pass
8-Swift2S-10ng-4_S11_L006_R2_001	8-Swift2S-10ng-4_S11_L006_R2_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	91.6394497925592	fail	0.0	warn	151.0	54975138.0	pass	pass	151.0	40.0	pass
8-Swift2S-10ng-4_S11_L007_R1_001	8-Swift2S-10ng-4_S11_L007_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	pass	90.44460629991696	fail	0.0	warn	151.0	57372412.0	pass	pass	151.0	40.0	pass
8-Swift2S-10ng-4_S11_L007_R2_001	8-Swift2S-10ng-4_S11_L007_R2_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	92.76552144915762	fail	0.0	warn	151.0	57372412.0	pass	pass	151.0	40.0	pass
8-Swift2S-10ng-4_S11_L008_R1_001	8-Swift2S-10ng-4_S11_L008_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	pass	91.309891277356	fail	0.0	fail	151.0	50957398.0	pass	pass	151.0	40.0	pass
8-Swift2S-10ng-4_S11_L008_R2_001	8-Swift2S-10ng-4_S11_L008_R2_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	92.2205808012718	fail	0.0	warn	151.0	50957398.0	pass	pass	151.0	40.0	pass
9-Kapa-100ng-1_S9_L005_R1_001	9-Kapa-100ng-1_S9_L005_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	93.59670990616928	fail	0.0	warn	151.0	31110217.0	pass	pass	151.0	41.0	pass
9-Kapa-100ng-1_S9_L005_R2_001	9-Kapa-100ng-1_S9_L005_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	94.61429397468662	fail	0.0	warn	151.0	31110217.0	pass	pass	151.0	41.0	pass
9-Kapa-100ng-1_S9_L006_R1_001	9-Kapa-100ng-1_S9_L006_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	93.34860852753192	fail	0.0	warn	151.0	30584790.0	pass	pass	151.0	41.0	pass
9-Kapa-100ng-1_S9_L006_R2_001	9-Kapa-100ng-1_S9_L006_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	94.9854193366542	fail	0.0	warn	151.0	30584790.0	pass	pass	151.0	42.0	pass
9-Kapa-100ng-1_S9_L007_R1_001	9-Kapa-100ng-1_S9_L007_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	93.80686704473963	warn	0.0	warn	151.0	29716178.0	pass	pass	151.0	41.0	pass
9-Kapa-100ng-1_S9_L007_R2_001	9-Kapa-100ng-1_S9_L007_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	95.06709892411634	fail	0.0	warn	151.0	29716178.0	pass	pass	151.0	42.0	pass
9-Kapa-100ng-1_S9_L008_R1_001	9-Kapa-100ng-1_S9_L008_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	94.4281767722381	fail	0.0	warn	151.0	29502068.0	pass	pass	151.0	41.0	pass
9-Kapa-100ng-1_S9_L008_R2_001	9-Kapa-100ng-1_S9_L008_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	94.53786629922948	fail	0.0	warn	151.0	29502068.0	pass	pass	151.0	42.0	pass
